"Gene","mean","variance","variance.expected","variance.standardized"
"CYREN",0.168571428571429,0.705499530478096,0.730926175907477,0.965213114172833
"CCDC66",0.669428571428571,3.09646437757728,3.20810127901942,0.965201565744751
"HLA-DOB",0.0825714285714286,0.3398504878945,0.352127271894777,0.965135378653814
"GCNT2",0.0868571428571429,0.357700894133018,0.370627946945399,0.96512121409375
"TNFRSF25",0.380857142857143,1.66485208018617,1.72511341850761,0.965068187589912
"PELO",0.0914285714285714,0.376891356714163,0.390537702845412,0.965057544939136
"GNG2",0.705714285714286,3.28347691177071,3.40245315389079,0.965032217421122
"DYNC1H1",1.97828571428571,11.3770647940228,11.7897206148728,0.964998676870308
"HNRNPAB",0.637142857142857,2.93031478381576,3.03669951797766,0.964966986844744
"MNAT1",0.274571428571429,1.17437463765158,1.21703558312014,0.964946837988746
"S100PBP",0.200857142857143,0.846469685216184,0.877314065848199,0.964842259080624
"NDUFA6-DT",0.0317142857142857,0.126173110684686,0.130778927439623,0.96478165982005
"TRMT10B",0.176571428571429,0.739891070918221,0.766910411048857,0.964768583472896
"CRNKL1",0.236,1.00173306659046,1.03831985599706,0.964763469372861
"ZNF274",0.447428571428571,1.98437463765157,2.05688237620588,0.964748719035628
"MIGA2",0.149714285714286,0.624049646837873,0.646857478103095,0.964740561812617
"MRPS7",1.01514285714286,4.98319446372433,5.1653251428123,0.964739745504414
"TCF20",0.197428571428571,0.831259461887071,0.861646916418857,0.964733286973182
"CEACAM4",0.0654285714285714,0.268081411015392,0.277892988635618,0.964692964481045
"MKNK2",0.905714285714286,4.36321397950433,4.52292873988413,0.964687756636226
"KIF3B",0.197142857142857,0.829943249091577,0.860342273410779,0.964666359821323
"ZNF805",0.128,0.531196341811946,0.550654090354309,0.964664298543861
"ZMYM1",0.0848571428571429,0.349184746662312,0.361979524646311,0.964653310165813
"IQCN",0.0431428571428571,0.173902666067856,0.18028020406652,0.964624302309364
"TSC22D4",1.07514285714286,5.33159114849138,5.52713595625262,0.964620952097257
"FAM78A",0.339428571428571,1.46977961050096,1.52370052650789,0.964611867575765
"GNAI1",0.0182857142857143,0.0711145225166374,0.0737239842541808,0.964604982165009
"FAM104B",0.118857142857143,0.492299350834932,0.510375500859645,0.964582645533992
"BGLAP",0.0368571428571429,0.147540848405667,0.15295916183865,0.96457673167235
"AGBL3",0.0202857142857143,0.0793254399216103,0.0822448137912414,0.964503854589041
"CDHR3",0.0162857142857143,0.062895602825297,0.0652103942409868,0.964502723183433
"AKAP17A",0.910857142857143,4.39102241456744,4.55265801504753,0.964496432645307
"CDR2",0.34,1.47224921406116,1.52645625439184,0.964488310637982
"POLR1A",0.0594285714285714,0.242823337280039,0.251764413093987,0.964486339812409
"ZBTB43",0.642,2.95353701057446,3.06241504294743,0.96444700315076
"SCAF1",0.0957142857142857,0.394665822888172,0.40923068767635,0.964409157898496
"SMAD2",0.622,2.85135924549871,2.95665031368985,0.96438839327613
"ADRA2A",0.0114285714285714,0.0427387416812967,0.0443169768792866,0.964387570878563
"LINS1",0.294857142857143,1.26484922222676,1.31156426663958,0.964382191859716
"AC008764.8",0.105142857142857,0.434211897276773,0.450275727064635,0.964324459831349
"TCAF2",0.113142857142857,0.467903809251622,0.485249182704929,0.964254708567218
"PGAM1",1.14828571428571,5.76451549422288,5.97846811690101,0.964212801926069
"FBXL15",0.68,3.14764218348099,3.26450768736994,0.964201185881383
"LDB1",0.207142857142857,0.873627158780059,0.906085587300985,0.964177304025316
"NLRX1",0.05,0.20298656759074,0.210528335764805,0.964176944891208
"FAM199X",0.270285714285714,1.15413252766096,1.19710304026148,0.964104583185146
"ZNF518B",0.104,0.429306659045441,0.445296835661584,0.964090971829194
"SLC35A5",0.0525714285714286,0.213868778834769,0.221841423251786,0.964061516103924
"ATP23",0.114,0.471424406973421,0.489013972426134,0.964030546273665
"ERICH6-AS1",0.0651428571428571,0.266689748091291,0.276647754693024,0.964004744543173
"SNRNP48",0.338857142857143,1.4661661699261,1.52094548387331,0.963983381042882
"AMIGO1",0.0274285714285714,0.108421508186012,0.112474981370614,0.963961112638506
"ILF3-DT",0.804571428571429,3.80403739844035,3.94625958097259,0.96396025663949
"TUT7",0.442857142857143,1.96043767607072,2.03381403804436,0.963921793929502
"ANAPC11",1.36828571428571,7.1301170946801,7.39716238953262,0.963898954654506
"PIGP",0.278857142857143,1.1922936349161,1.23696702701801,0.96388473489903
"SNX12",0.0942857142857143,0.388364022373739,0.403005930903508,0.963668255459807
"SRP14-AS1",0.0582857142857143,0.23781357939003,0.24678726177687,0.963637983896616
"TUBB2A",0.177428571428571,0.742731310986812,0.770779604419579,0.963610488300495
"POP4",0.286571428571429,1.22651296288736,1.27287843892679,0.963574309516525
"C20orf194",0.104571428571429,0.431473808843343,0.447785934617018,0.963571598586214
"ZNF502",0.0188571428571429,0.0733796594945495,0.0761546506825995,0.96356110673246
"ATXN7L2",0.0188571428571429,0.0733796594945495,0.0761546506825995,0.96356110673246
"UPF1",0.214285714285714,0.904625811456332,0.938840208599001,0.963556740721913
"DDX51",0.230285714285714,0.975247131833583,1.01213354503734,0.963555784328447
"DUS1L",0.728571428571429,3.39758298289306,3.52610495061225,0.963551292568062
"WDR12",0.076,0.312027436410403,0.323856255978549,0.963475093194033
"PDZK1",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"ILDR1",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"AC233280.1",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"AC023906.3",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"AC090617.10",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"AC006449.2",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"MSANTD1",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"NECAB1",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"CBWD6",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"LDHAL6A",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"DOC2A",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"ZNF221",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"TMPRSS3",0.00285714285714286,0.00913730453598987,0.00948403171134517,0.963440951495288
"PPP1R14B-AS1",0.006,0.0208270934552729,0.0216181072142473,0.963409666205512
"PRR4",0.006,0.0208270934552729,0.0216181072142473,0.963409666205512
"AC007728.3",0.006,0.0208270934552729,0.0216181072142473,0.963409666205512
"PLIN3",0.442857142857143,1.95929449230393,2.03381403804436,0.963359705289436
"SAP25",0.322285714285714,1.38852864083616,1.44135894050997,0.963346881759295
"MSANTD3",0.116571428571429,0.481977381292613,0.500320593637036,0.963337083106897
"PCNT",0.228571428571429,0.967460090638143,1.00428359078534,0.963333563860773
"ATF4",1.61228571428571,8.73874584575182,9.07144483239758,0.963324586899595
"AGO2",0.512857142857143,2.30134936512473,2.38897993302634,0.963318834666558
"FLVCR1-DT",0.0134285714285714,0.0509770954966725,0.0529198622356252,0.963288514805604
"CR2",0.0168571428571429,0.0651630261707427,0.0676464639198393,0.963287988681278
"RAB11A",0.675142857142857,3.11964487812846,3.2385712250872,0.9632781437575
"LINC01473",0.0631428571428571,0.258086718654309,0.26793552955839,0.963241862994753
"CD2AP",0.337142857142857,1.45703670436451,1.51268449284638,0.963212561016505
"CLPB",0.202,0.850010288653903,0.882540870287695,0.963139858187882
"PXYLP1",0.0782857142857143,0.321391744580084,0.33369489104044,0.963130551918264
"NIN",1.00114285714286,4.8945399910178,5.08192694849002,0.963126790414046
"CFAP410",0.249714285714286,1.06080300494019,1.10143277203473,0.963111895590784
"FAM192A",0.362857142857143,1.57678520393582,1.6372189766969,0.963087544414491
"COASY",0.275142857142857,1.17463201731106,1.21969291072484,0.963055542081501
"TKTL1",0.0314285714285714,0.124762176948516,0.129550350873418,0.963040054367895
"IDH3A",0.230285714285714,0.974675539950189,1.01213354503734,0.962991044738303
"SFXN1",1.298,6.67796113175198,6.93469896613119,0.962977796782068
"AC016831.7",0.164,0.68415661617605,0.710466470774049,0.962968196698525
"PFN1",11.4028571428571,135.099163026169,140.299898938407,0.962931292527023
"ZFYVE26",0.0588571428571429,0.24003298901727,0.249276063935068,0.962920327078797
"B4GALT5",0.168571428571429,0.703784754827911,0.730926175907477,0.962867082922745
"LIG1",0.183428571428571,0.768287755685297,0.797928829267999,0.96285248446294
"NIT1",0.126,0.521701629036867,0.541833533990584,0.96284485235632
"PEX7",0.058,0.236417833666762,0.245542653729515,0.962838146757164
"TWISTNB",0.793142857142857,3.73770661005182,3.88206284053789,0.962814555967873
"HACD3",0.181142857142857,0.758261054178746,0.787573375505628,0.962781472509705
"AC016957.2",0.0748571428571429,0.307055566896664,0.318927672688376,0.96277492733184
"LPIN1",0.476285714285714,2.12090074715225,2.2029147564877,0.962770230171677
"CMC4",0.314,1.34950385824521,1.40181050879944,0.962686361511853
"AC009831.1",0.0285714285714286,0.112930224962234,0.117311299847569,0.962654280610415
"DIABLO",0.0788571428571429,0.323588290531989,0.336152273682395,0.962624131579498
"TXNL4B",0.111714285714286,0.461080227003634,0.478983496379685,0.962622366926273
"HUWE1",0.705142857142857,3.2722799167109,3.39937508812307,0.962612195442559
"AZI2",0.354857142857143,1.53851598415874,1.59833755402282,0.962572630722768
"AK1",0.0545714285714286,0.221942514187727,0.230590590905438,0.962495968791471
"ASCC3",0.350571428571429,1.51839064222431,1.57755774163736,0.962494495224221
"CNOT4",0.481142857142857,2.14397125709386,2.22753631594901,0.962485433679874
"ACTR1A",0.315714285714286,1.35699791777242,1.40997361850005,0.962427878059184
"NDUFV3",0.457428571428571,2.02819572939207,2.10742251867089,0.962405835290788
"CPT2",0.0897142857142857,0.368628097823868,0.38304704070529,0.962357252898043
"FAM226B",0.0528571428571429,0.214696035602009,0.223094146531752,0.962356202256753
"SFR1",0.13,0.538396684767077,0.559481006612706,0.962314499337016
"LINC01588",0.158285714285714,0.659133956640673,0.684975217222781,0.962274167105077
"AC009061.2",0.0802857142857143,0.329362593394031,0.342294619876912,0.96221960342955
"LAIR1",0.334571428571429,1.44361727840607,1.50030476339032,0.962216020126376
"DCAF6",0.148571428571429,0.617531539623566,0.641781613501155,0.962214445899603
"DPAGT1",0.116571428571429,0.481405789409218,0.500320593637036,0.962194631865304
"MGAT4B",0.408285714285714,1.79009994692362,1.86048965614368,0.962166030330979
"SLC25A38",0.272857142857143,1.16330992528477,1.20906337187207,0.96215794171611
"MTG1",0.250571428571429,1.06351782141836,1.10539588635915,0.962114871732768
"LRRC14",0.115428571428571,0.476526681092557,0.495294758420401,0.962107256318034
"THOC5",0.250285714285714,1.06223198464868,1.10407455164033,0.962101683324289
